@RELATION ALUMNO_CALIFS
@ATTRIBUTE		edad					NUMERIC
@ATTRIBUTE		evaluacionProfesor		NUMERIC
@ATTRIBUTE		calificacionMateria		NUMERIC

@DATA

24,7,2
23,1,4
20,7,6
26,8,1
21,8,4
27,9,10
23,1,4
25,10,0
18,5,5
21,4,5
18,4,6
20,4,1
22,10,4
26,7,10
24,4,2
18,8,10
26,9,6
19,6,10
20,5,10
23,6,7
18,9,7
29,5,0
25,7,7
19,0,8
21,9,8
19,6,4
30,1,8
28,4,4
18,1,9
27,5,7
28,10,5
29,8,10
27,7,10
24,9,8
19,9,10
24,7,8
28,9,8
23,9,8
21,10,0
20,1,6
24,7,8
27,2,2
25,8,6
26,0,8
29,8,7
20,8,7
28,5,3
22,2,7
24,9,5
29,4,5
24,8,3
23,9,7
25,10,4
30,5,0
25,10,1
18,10,3
26,3,9
29,9,8
30,3,4
18,2,7
24,2,7
29,9,8
23,7,4
19,10,5
22,8,0
21,4,5
24,4,5
25,6,9
18,1,4
24,8,6
24,10,5
21,4,10
30,4,8
27,5,6
20,4,4
23,10,5
23,6,1
23,8,7
19,3,8
29,8,5
27,8,6
27,0,9
27,6,9
19,10,5
24,3,8
23,9,4
25,6,7
26,8,5
26,6,1
27,2,7
30,2,2
19,9,1
27,5,1
22,7,6
18,2,6
28,6,9
22,2,9
26,8,10
20,4,9
21,10,7
28,8,0
26,10,8
18,7,7
19,8,5
26,5,10
29,9,6
20,8,2
24,6,4
20,8,6
27,8,10
29,5,7
19,10,7
29,7,7
24,7,6
19,9,4
22,7,4
28,3,10
30,3,8
28,8,4
29,10,2
21,10,4
29,7,5
26,8,8
24,8,1
28,0,9
26,10,1
20,9,5
21,7,10
23,4,3
22,2,1
21,9,7
21,8,0
28,0,8
24,9,6
23,10,7
24,5,9
24,0,4
25,7,8
30,9,6
27,8,5
22,9,6
29,1,9
30,10,6
21,8,10
21,7,5
25,0,5
28,4,9
29,2,0
19,6,4
29,8,5
25,2,0
20,7,4
27,6,7
21,9,1
24,2,10
23,10,2
25,10,4
27,6,8
19,2,8
20,4,3
25,7,5
20,1,0
27,7,1
18,8,9
25,2,6
18,10,10
21,7,7
26,0,8
26,9,10
25,1,6
28,4,9
30,6,8
18,1,8
29,2,8
30,2,8
29,10,5
19,10,8
21,6,6
27,2,6
28,8,8
22,6,9
29,3,6
29,7,7
26,4,8
20,6,5
28,0,7
19,4,5
28,0,9
20,6,10
27,4,4
21,3,6
21,7,9
26,5,7
22,7,7
19,6,7
19,10,4
22,6,4
22,4,3
22,5,4
26,2,2
25,8,6
20,8,6
26,5,8
24,6,10
27,4,8
24,0,2
18,7,6
26,6,5
20,2,10
24,3,9
29,9,8
27,1,1
22,7,3
25,1,5
22,5,7
22,4,4
20,7,5
20,4,5
30,9,4
23,9,4
27,6,7
30,8,5
24,3,6
20,5,5
28,5,8
30,5,6
20,6,4
20,10,6
28,10,2
22,3,7
21,1,10
28,4,6
30,8,10
18,6,8
25,10,0
23,8,6
21,0,4
27,4,10
19,10,7
21,10,9
21,9,0
30,6,5
22,6,7
18,8,10
21,6,1
24,8,9
25,0,3
20,4,5
29,6,8
18,10,0
24,5,6
19,8,0
25,10,10
23,10,10
29,4,9
21,8,3
25,2,10
26,2,8
19,2,8
21,4,7
18,6,3
18,9,9
21,8,7
26,4,7
28,8,6
26,3,7
29,5,4
25,2,6
29,4,5
21,10,6
20,9,3
23,10,6
27,3,8
22,7,0
20,7,6
19,1,6
30,3,1
25,8,8
29,9,7
25,4,8
18,9,6
24,5,8
19,1,9
30,9,0
27,4,10
18,4,1
18,4,4
20,5,9
22,9,9
27,3,10
27,9,4
30,8,6
29,6,6
22,4,1
19,7,5
27,6,9
28,7,10
20,10,6
19,6,8
22,2,5
23,9,8
23,3,2
26,9,7
27,3,4
18,7,0
30,8,8
19,6,6
25,7,10
19,10,7
18,1,9
20,8,3
22,7,6
28,9,8
24,8,7
19,5,10
30,6,9
26,5,0
30,9,5
22,5,6
20,9,7
27,6,6
25,7,4
24,10,1
25,8,8
30,3,5
26,4,8
18,5,4
21,3,9
18,9,5
27,5,5
30,5,7
22,9,0
18,7,5
30,7,8
28,5,10
18,2,8
18,3,1
27,5,9
23,4,9
30,5,5
18,8,6
18,7,8
18,10,1
30,5,8
24,5,8
19,9,9
19,6,4
26,9,3
22,9,9
21,6,10
18,6,4
18,8,7
20,8,3
30,9,7
26,8,7
29,0,0
28,7,2
22,2,4
30,10,3
25,2,4
21,4,3
18,9,7
22,9,1
23,8,0
27,3,7
28,5,9
30,5,9
24,5,0
24,1,1
24,5,7
30,9,7
22,4,1
25,4,8
19,6,4
30,10,9
23,6,8
24,5,5
23,10,4
20,4,5
21,7,1
25,3,6
27,6,5
26,8,5
27,4,5
28,7,0
25,5,10
28,7,8
23,7,6
22,9,9
30,4,6
30,5,3
30,10,6
28,0,6
21,0,2
25,8,9
23,8,7
26,0,1
21,10,4
20,3,4
26,9,2
23,1,9
29,8,6
19,2,4
18,7,6
26,5,10
24,8,4
25,0,1
24,9,10
23,6,7
18,9,6
19,3,4
18,1,5
27,9,5
29,3,4
20,5,0
18,9,0
28,9,7
26,10,6
23,7,8
18,5,8
22,9,9
26,5,10
25,7,7
24,7,2
26,3,0
30,4,5
28,10,2
29,10,4
19,8,4
21,2,2
27,2,3
20,7,2
28,8,3
22,4,9
26,9,10
26,10,9
26,9,10
24,9,9
22,6,5
21,9,4
19,0,10
24,2,5
19,4,1
29,7,10
24,5,4
