@RELATION ALUMNO_GEN_ED_CAL
@ATTRIBUTE	genero					{H,M}
@ATTRIBUTE	edad					NUMERIC
@ATTRIBUTE	calificacionMateria		NUMERIC

@DATA

M,28,9
H,20,10
M,20,0
H,23,1
H,25,6
M,18,1
H,28,7
H,22,6
M,29,6
H,23,0
M,30,2
H,29,2
M,25,5
H,30,6
M,19,8
M,30,6
H,20,8
M,19,2
H,20,0
H,25,1
M,22,5
M,28,8
M,22,1
M,30,9
H,24,10
H,20,10
M,28,9
H,18,0
M,19,6
H,30,3
M,29,1
H,26,6
M,29,9
M,23,10
H,27,4
M,23,6
H,22,7
H,27,8
M,23,8
H,21,10
H,20,2
H,27,5
M,20,6
H,25,9
M,29,10
H,29,8
H,21,7
M,30,1
H,26,9
M,26,7
H,25,6
M,30,5
M,29,1
M,28,10
H,23,0
H,23,10
H,20,8
M,28,2
H,29,10
M,23,7
H,21,4
H,23,5
H,24,6
M,30,6
M,30,0
M,25,10
H,20,8
M,25,6
H,24,5
M,21,6
H,29,6
M,18,6
H,18,10
M,28,7
H,28,2
H,30,7
M,19,9
H,25,4
H,20,5
M,26,1
H,25,9
H,27,8
H,20,3
H,18,8
H,24,1
H,24,7
M,21,4
H,22,10
H,19,5
M,26,2
M,26,6
H,29,0
M,29,6
H,23,3
M,20,9
M,18,10
M,20,5
H,24,3
M,28,5
H,30,6
M,23,10
H,25,3
H,24,6
H,20,6
M,27,9
M,23,1
M,25,3
H,23,8
M,24,6
M,21,2
H,28,5
H,20,3
H,19,9
H,20,4
M,23,6
H,21,7
M,28,6
H,26,9
H,23,8
H,30,3
M,19,5
H,26,7
H,20,2
H,24,0
M,29,8
M,19,8
M,19,7
H,29,7
H,23,9
M,26,1
H,24,1
H,21,5
M,19,5
H,26,4
M,29,8
H,19,1
M,21,9
M,26,1
M,28,9
M,23,5
H,21,9
M,18,6
M,19,9
H,25,9
M,25,7
M,28,5
H,26,10
M,29,10
M,24,7
M,19,5
H,25,5
H,22,5
H,30,8
M,26,0
H,18,1
M,27,8
H,23,6
M,24,9
H,21,7
H,28,7
H,19,10
M,28,5
H,27,10
H,25,6
H,26,6
M,21,9
M,18,6
H,22,8
M,30,9
M,30,1
M,23,7
H,22,0
H,22,9
M,18,8
H,24,10
H,25,10
H,30,10
H,23,10
H,24,2
H,30,10
H,21,10
M,21,5
M,27,8
H,27,7
M,29,0
H,20,7
M,28,6
H,29,8
H,18,2
H,26,1
H,27,9
M,28,6
H,28,10
H,19,6
H,27,5
H,26,6
H,23,10
M,24,5
H,20,3
M,30,5
H,27,1
H,22,0
M,26,7
H,23,3
H,30,5
H,28,3
H,21,9
H,24,9
M,29,6
M,22,1
M,25,0
H,29,10
H,30,6
H,22,10
H,25,8
H,25,7
M,18,8
M,24,9
M,18,10
H,28,5
H,30,5
H,28,9
H,25,2
M,22,10
H,30,1
H,25,9
M,26,0
H,29,7
H,24,0
M,29,8
H,27,6
H,28,1
M,26,7
H,28,3
M,30,10
H,18,6
H,20,9
M,23,5
M,26,10
M,28,5
H,20,6
H,20,10
H,21,5
M,19,6
H,22,9
M,26,0
M,25,7
H,28,9
M,27,6
H,21,0
H,19,6
H,23,8
M,28,7
M,30,8
M,27,10
M,22,7
H,28,0
H,30,7
M,21,5
M,23,9
M,30,0
M,22,3
M,23,3
H,26,10
H,24,10
H,27,9
H,21,7
H,19,9
H,28,10
H,20,7
H,21,10
H,27,6
H,22,10
H,30,4
H,19,2
M,21,3
H,27,1
M,25,7
M,26,8
M,24,1
H,29,5
H,24,8
M,24,3
H,21,3
M,18,9
H,19,6
M,27,7
M,22,1
H,27,10
M,27,3
M,21,6
H,20,4
M,23,5
H,24,5
H,26,3
H,19,10
M,27,8
H,30,10
H,22,6
H,28,3
H,20,?
