@RELATION ALUMNO
@ATTRIBUTE idHecho					NUMERIC
@ATTRIBUTE noBoleta					NUMERIC
@ATTRIBUTE idProfesor				NUMERIC
@ATTRIBUTE idTiempo					NUMERIC
@ATTRIBUTE idMateria				NUMERIC
@ATTRIBUTE calificacionMateria		NUMERIC
@ATTRIBUTE evaluacionProfesor		NUMERIC

@DATA
1,2007814285,4305,893,25,9,4
2,2013117790,2097,513,267,6,10
3,2003954368,1418,492,379,2,3
4,2015820490,2005,368,51,7,0
5,2012977967,2568,984,192,8,8
6,2002572347,996,328,176,1,8
7,2007705125,3181,71,309,1,5
8,2004595907,2295,173,89,5,7
9,2002325377,3108,978,237,0,8
10,2001603404,3506,719,427,3,7
11,2009781880,4369,926,215,6,8
12,2013394311,648,242,300,10,10
13,2009585517,3110,40,232,9,4
14,2009877250,2434,279,233,7,10
15,2009594639,283,977,287,1,7
16,2004308516,2597,51,473,3,9
17,2005609998,4889,583,250,9,6
18,2009414436,4340,26,74,10,4
19,2013661668,4688,948,224,1,3
20,2011829312,1360,799,292,10,4
21,2014718238,2768,901,116,0,4
22,2014756643,1067,101,110,3,1
23,2003958404,3972,114,425,0,1
24,2015093942,298,911,192,6,4
25,2009187899,2860,525,175,9,10
26,2012734122,1348,849,385,3,10
27,2010643662,1085,33,499,8,0
28,2001835069,4328,284,389,1,10
29,2000048405,1653,690,438,1,0
30,2011440528,1893,608,499,7,9
31,2001006188,2263,23,273,0,2
32,2015720681,1479,948,322,7,9
33,2006287037,2847,320,169,1,1
34,2010256134,141,304,26,10,2
35,2010254223,3689,246,59,6,5
36,2005488470,2044,696,74,10,9
37,2006995810,4544,429,180,9,2
38,2001253887,4135,4,458,3,4
39,2004612740,604,448,490,10,7
40,2015820605,1382,848,486,0,1
41,2001484745,1176,95,348,0,7
42,2004113759,3479,434,96,4,6
43,2015071996,2514,960,426,2,3
44,2002694115,2540,695,41,0,10
45,2012773737,1297,103,443,5,3
46,2010740407,3984,517,155,10,3
47,2007203532,1400,802,479,3,6
48,2003316232,3400,153,181,4,5
49,2002183829,2896,783,404,8,6
50,2014192465,1340,857,409,4,10
51,2004320405,1916,821,403,3,4
52,2009980851,3509,49,309,6,3
53,2006118388,122,126,28,7,3
54,2015576320,2366,698,498,3,10
55,2000844094,4227,34,27,4,9
56,2000428230,1430,976,370,1,8
57,2004153987,4316,459,451,0,3
58,2012638281,291,254,296,4,1
59,2013088495,1858,165,135,10,6
60,2006116104,4162,524,310,7,3
61,2012124113,3506,748,161,2,9
62,2012287411,4066,972,39,7,0
63,2008768859,164,618,464,2,8
64,2013683396,1980,342,445,2,5
65,2011451022,2207,206,404,6,6
66,2015811031,941,667,465,10,0
67,2011917803,260,303,114,6,9
68,2013007451,1823,188,407,3,3
69,2014445557,4658,696,63,6,2
70,2014171562,1488,82,328,6,9
71,2015541041,4033,493,183,1,0
72,2014316331,3914,329,95,3,8
73,2006863652,3102,205,412,7,2
74,2011242580,1418,885,156,2,3
75,2000565499,2135,356,429,1,3
76,2011965068,53,104,497,1,4
77,2010042210,2146,413,384,5,3
78,2005653815,1486,459,44,6,1
79,2007436230,602,452,234,9,8
80,2000767277,764,725,494,4,3
81,2005193471,131,492,243,6,4
82,2009479714,2527,10,87,7,6
83,2009033857,3946,163,192,4,2
84,2014791331,3124,246,245,10,5
85,2010141265,1028,665,430,9,2
86,2011819547,765,512,468,2,7
87,2003912148,3158,932,54,0,7
88,2012428202,1362,296,449,10,4
89,2005561305,599,83,323,7,6
90,2005504594,3550,309,45,0,2
91,2001415255,2279,475,145,3,0
92,2010475092,595,974,352,6,8
93,2005875316,2173,716,299,7,4
94,2015885326,2766,899,299,7,7
95,2013771407,158,687,298,7,3
96,2011294699,1210,856,402,0,5
97,2013478295,1640,709,405,4,5
98,2015743750,1350,711,151,5,10
99,2012548666,2932,434,460,6,2
100,2009522613,620,722,481,6,9
101,2001635008,117,479,361,10,6
102,2012127467,3118,687,457,3,8
103,2015471779,3198,853,438,9,1
104,2002044971,3118,862,388,3,2
105,2014965975,1726,753,385,7,1
106,2007434714,987,812,223,1,7
107,2015310482,192,455,339,2,4
108,2014629850,51,342,498,10,9
109,2015517777,4440,458,414,5,10
110,2011831956,2838,724,376,0,9
111,2013974055,987,31,90,7,10
112,2006525877,4624,315,151,7,7
113,2003266268,4532,613,150,4,7
114,2001269140,489,884,135,0,3
115,2000986236,2231,238,149,3,3
116,2009918322,25,376,414,0,4
117,2005606300,2033,698,474,8,9
118,2003442732,2891,696,333,0,7
119,2015704121,3123,557,149,8,10
120,2003406869,3111,522,179,2,7
